ds,y
2020-02-03 09:00:00,94.0
2020-02-03 10:00:00,97.0
2020-02-03 11:00:00,99.0
2020-02-03 12:00:00,99.0
2020-02-03 14:00:00,107.0
2020-02-03 15:00:00,103.0
2020-02-03 16:00:00,105.0
2020-02-03 17:00:00,103.0
2020-02-03 18:00:00,95.0
2020-02-03 20:00:00,95.0
2020-02-03 21:00:00,97.0
2020-02-03 22:00:00,91.0
2020-02-03 23:00:00,89.0
2020-02-04 00:00:00,82.0
2020-02-04 01:00:00,79.0
2020-02-04 02:00:00,79.0
2020-02-04 03:00:00,81.0
2020-02-04 04:00:00,82.0
2020-02-04 05:00:00,81.0
2020-02-04 06:00:00,84.0
2020-02-04 07:00:00,89.0
2020-02-04 08:00:00,84.0
2020-02-04 09:00:00,88.0
2020-02-04 10:00:00,88.0
2020-02-04 11:00:00,90.0
2020-02-04 12:00:00,92.0
2020-02-04 13:00:00,91.0
2020-02-04 14:00:00,104.0
2020-02-04 15:00:00,105.0
2020-02-04 16:00:00,105.0
2020-02-04 17:00:00,118.0
2020-02-04 18:00:00,120.0
2020-02-04 19:00:00,119.0
2020-02-04 20:00:00,118.0
2020-02-04 21:00:00,107.0
2020-02-04 22:00:00,112.0
2020-02-04 23:00:00,108.0
2020-02-05 00:00:00,99.0
2020-02-05 01:00:00,97.0
2020-02-05 02:00:00,91.0
2020-02-05 03:00:00,87.0
2020-02-05 04:00:00,83.0
2020-02-05 05:00:00,82.0
2020-02-05 06:00:00,80.0
2020-02-05 07:00:00,83.0
2020-02-05 08:00:00,81.0
2020-02-05 09:00:00,85.0
2020-02-05 10:00:00,90.0
2020-02-05 11:00:00,93.0
2020-02-05 12:00:00,95.0
2020-02-05 13:00:00,115.0
2020-02-05 14:00:00,113.0
2020-02-05 15:00:00,111.0
2020-02-05 16:00:00,114.0
2020-02-05 17:00:00,115.0
2020-02-05 18:00:00,106.0
2020-02-05 19:00:00,106.0
2020-02-05 20:00:00,112.0
2020-02-05 21:00:00,107.0
2020-02-05 22:00:00,94.0
2020-02-05 23:00:00,92.0
2020-02-06 00:00:00,88.0
2020-02-06 01:00:00,83.0
2020-02-06 02:00:00,71.0
2020-02-06 03:00:00,74.0
2020-02-06 04:00:00,77.0
2020-02-06 05:00:00,79.0
2020-02-06 06:00:00,78.0
2020-02-06 07:00:00,79.0
2020-02-06 08:00:00,88.0
2020-02-06 09:00:00,94.0
2020-02-06 10:00:00,90.0
