ds,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-02-01,-3,-10,1.4,5.4,1,1,49,-7,-7,-7,-7,5,75,95,0.8,1015,-3,6,216,3
2020-02-02,-4,-11,0.5,3.7,1,1,57,-8,-9,-8,-9,6,97,96,0.9,1000,-4,5,94,4
2020-02-03,1,-9,3.1,3.7,1,1,64,-5,-7,-4,-7,18,94,92,2.4,1005,1,5,231,11
2020-02-04,-2,-7,0.0,0.0,1,1,72,-5,-7,-4,-7,12,76,94,2.2,1009,-2,6,69,8
2020-02-05,-2,-10,0.0,0.0,1,1,79,-6,-7,-4,-7,15,90,92,12.6,1008,-2,4,308,9
2020-02-06,-12,-20,0.0,0.0,11,11,87,-17,-21,-16,-21,15,28,88,0.0,1018,-12,10,46,9
2020-02-07,-6,-15,0.0,0.0,11,11,95,-12,-18,-11,-18,28,92,94,14.0,1008,-6,3,64,18
2020-02-08,-5,-14,0.0,0.0,11,11,100,-10,-13,-9,-13,12,86,93,1.1,1015,-5,8,176,7
2020-02-09,-2,-11,0.0,0.0,11,11,100,-7,-10,-6,-10,16,82,93,0.1,1019,-2,7,190,10
2020-02-10,1,-3,0.0,0.0,11,11,83,-1,-5,-1,-5,24,100,97,13.9,1011,1,5,205,15
2020-02-11,-7,-8,0.0,0.0,11,11,75,-6,-10,-5,-10,21,60,92,0.3,1010,-7,10,240,11
2020-02-12,-13,-24,0.0,0.0,11,11,68,-19,-24,-17,-24,23,64,86,0.1,1028,-13,10,246,13
2020-02-13,-4,-25,0.0,0.0,11,11,60,-13,-19,-12,-19,32,65,88,7.7,1015,-4,9,135,18
2020-02-14,-13,-20,0.0,0.0,11,11,53,-16,-19,-15,-19,12,64,93,0.1,1021,-13,8,51,7
