ds,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-02-06 00:00:00,-6,-14,9.9,3.7,1,1,87,-13,-16,-12,-16,12,68,92,0.0,1020,-12,10,174,6
2020-02-06 01:00:00,-6,-14,9.9,3.7,1,1,87,-13,-15,-12,-15,9,84,93,0.0,1019,-12,10,159,5
2020-02-06 02:00:00,-6,-14,9.9,3.7,1,1,87,-13,-14,-12,-14,7,100,93,0.0,1018,-12,10,143,4
2020-02-06 03:00:00,-6,-14,9.9,3.7,1,1,87,-12,-13,-11,-13,7,100,94,0.4,1017,-11,7,134,4
2020-02-06 04:00:00,-6,-14,9.9,3.7,1,1,87,-11,-12,-10,-12,6,100,95,0.7,1016,-10,5,125,4
2020-02-06 05:00:00,-6,-14,9.9,3.7,1,1,87,-10,-11,-9,-11,6,100,96,1.1,1015,-9,2,116,4
2020-02-06 06:00:00,-6,-14,9.9,3.7,1,1,87,-10,-12,-9,-12,9,95,96,1.3,1014,-9,2,94,6
2020-02-06 07:00:00,-6,-14,9.9,3.7,1,1,87,-10,-13,-9,-13,12,89,96,1.6,1013,-9,2,72,8
2020-02-06 08:00:00,-6,-14,9.9,3.7,1,1,87,-10,-14,-9,-14,15,83,96,1.8,1012,-9,2,50,10
2020-02-06 09:00:00,-6,-14,9.9,3.7,1,1,87,-9,-14,-9,-14,17,88,96,1.4,1011,-9,2,44,11
2020-02-06 10:00:00,-6,-14,9.9,3.7,1,1,87,-9,-14,-8,-14,18,93,96,1.1,1010,-8,2,39,12
2020-02-06 11:00:00,-6,-14,9.9,3.7,1,1,87,-8,-13,-8,-13,19,98,96,0.7,1009,-8,2,34,14
2020-02-06 12:00:00,-6,-14,9.9,3.7,1,1,87,-8,-13,-7,-13,19,95,96,1.5,1008,-7,2,31,14
