ds,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2012-05-01,12,6,0.0,9.1,1,1,69,7,7,9,7,15,98,87,1.7,1017,12,7,133,9
2012-05-02,16,7,0.0,12.4,1,1,76,8,10,11,10,14,69,86,0.5,1019,16,7,99,9
2012-05-03,17,10,0.0,9.2,1,1,83,11,13,13,13,11,90,84,0.3,1017,17,9,120,7
2012-05-04,17,10,0.0,9.2,1,1,91,12,13,14,13,11,79,91,3.7,1012,17,5,152,7
2012-05-05,14,4,0.0,14.5,1,1,98,4,8,9,8,14,21,70,0.0,1020,14,10,32,9
2012-05-06,16,4,0.0,14.5,1,1,100,3,10,11,10,13,19,62,0.0,1021,16,10,72,8
2012-05-07,19,4,0.0,14.5,1,1,88,5,13,13,13,11,15,61,0.0,1018,19,10,116,7
2012-05-08,12,10,0.0,9.2,1,1,80,9,10,11,10,16,91,90,6.7,1009,12,5,144,10
2012-05-09,19,11,0.0,12.4,1,1,73,13,14,15,14,14,67,89,2.1,1004,19,6,222,9
2012-05-10,13,8,0.0,11.4,1,1,66,8,9,10,9,21,76,85,0.6,1000,13,7,265,14
2012-05-11,16,6,0.0,14.5,1,1,58,6,9,11,9,21,37,71,0.2,1011,16,9,284,14
2012-05-12,21,4,0.0,13.5,1,1,51,10,14,15,14,17,31,75,0.3,1018,21,8,245,10
2012-05-13,20,9,0.0,12.4,1,1,44,13,15,15,15,11,53,85,3.1,1020,20,6,253,7
2012-05-14,22,9,0.0,14.5,1,1,37,14,17,18,17,13,10,81,2.2,1018,22,10,171,7
2012-05-15,21,14,0.0,11.4,1,1,29,15,17,17,17,18,63,90,2.4,1015,21,9,164,11
2012-05-16,23,12,0.0,13.5,1,1,22,14,16,17,16,20,61,88,2.2,1009,23,6,209,12
2012-05-17,15,5,0.0,14.5,1,1,15,6,9,11,9,21,19,75,0.0,1018,15,10,272,14
2012-05-18,18,6,0.0,14.5,1,1,8,9,12,13,12,14,13,83,0.0,1022,18,8,255,9
2012-05-19,24,9,0.0,14.5,1,1,0,13,17,18,17,12,20,77,0.0,1021,24,10,232,7
2012-05-20,29,13,0.0,14.5,1,1,0,17,23,24,23,14,3,74,0.0,1022,29,10,209,8
2012-05-21,26,15,0.0,14.5,1,1,0,16,21,22,21,24,8,72,0.0,1019,26,10,169,14
2012-05-22,20,15,0.0,9.4,1,1,7,17,17,17,17,14,84,95,7.8,1012,20,6,118,9
2012-05-23,21,12,0.0,13.5,1,1,14,13,17,18,17,13,36,80,0.2,1015,21,8,80,8
2012-05-24,27,13,0.0,14.5,1,1,21,17,21,22,21,16,10,82,0.0,1018,27,10,157,9
2012-05-25,26,17,0.0,14.5,1,1,29,19,21,22,21,28,32,86,5.2,1016,26,10,184,17
2012-05-26,23,14,0.0,14.5,1,1,36,15,19,20,19,17,12,78,0.4,1019,23,9,226,9
2012-05-27,20,11,0.0,13.5,1,1,43,11,16,16,16,10,43,71,0.0,1021,20,10,111,6
2012-05-28,18,12,0.0,14.5,1,1,50,12,14,15,14,21,40,82,0.4,1014,18,10,48,14
2012-05-29,27,12,0.0,12.5,1,1,58,18,19,21,19,15,64,91,12.7,1004,27,8,158,9
2012-05-30,22,14,0.0,14.5,1,1,65,15,18,19,18,21,18,83,0.1,1005,22,10,257,13
2012-05-31,18,11,0.0,13.5,1,1,69,11,15,15,15,15,30,80,0.9,1011,18,10,240,10
2012-06-01,18,7,0.0,11.5,1,1,83,9,13,14,13,16,68,71,0.0,1016,18,10,70,9
2012-06-02,15,11,0.0,9.6,1,1,90,11,11,13,11,23,96,92,10.8,1009,15,8,111,13
2012-06-03,19,10,0.0,13.5,1,1,98,12,13,14,13,19,63,88,1.1,1007,19,7,81,12
2012-06-04,15,9,0.0,12.5,1,1,100,10,10,11,10,22,65,91,2.0,1010,15,7,45,14
2012-06-05,20,8,0.0,14.5,1,1,87,11,14,14,14,16,41,81,0.0,1013,20,8,34,10
2012-06-06,20,9,0.0,14.5,1,1,80,12,14,15,14,12,33,83,0.5,1014,20,9,54,7
2012-06-07,21,8,0.0,14.5,1,1,72,12,16,17,16,9,38,81,0.0,1013,21,8,149,5
2012-06-08,21,12,0.0,12.5,1,1,65,15,16,17,16,21,44,92,7.6,1008,21,7,256,13
2012-06-09,21,10,0.0,14.5,1,1,57,13,17,18,17,12,7,80,0.0,1011,21,9,245,7
2012-06-10,25,9,0.0,14.5,1,1,50,15,19,20,19,9,17,78,0.0,1018,25,10,164,5
2012-06-11,28,14,0.0,14.5,1,1,42,19,22,24,22,16,17,83,0.0,1018,28,10,146,9
2012-06-12,25,17,0.0,12.5,1,1,34,18,20,21,20,21,55,89,2.7,1012,25,7,169,13
2012-06-13,21,12,0.0,14.5,1,1,27,15,18,18,18,20,35,83,0.0,1015,21,10,241,13
2012-06-14,21,8,0.0,14.5,1,1,19,10,16,17,16,13,0,69,0.0,1026,21,10,51,8
2012-06-15,22,9,0.0,13.5,1,1,12,14,17,18,17,16,17,81,0.0,1026,22,8,57,10
2012-06-16,25,10,0.0,14.5,1,1,4,16,19,19,19,10,23,82,0.0,1024,25,9,64,6
2012-06-17,25,14,0.0,13.5,1,1,0,18,20,22,20,18,43,84,0.6,1017,25,9,156,11
2012-06-18,25,15,0.0,14.5,1,1,0,17,20,21,20,20,24,84,0.0,1015,25,9,154,12
2012-06-19,26,15,0.0,11.6,1,1,0,20,22,23,22,19,60,89,0.0,1014,26,8,206,12
2012-06-20,29,22,0.0,12.6,1,1,3,24,29,29,25,18,52,91,8.0,1013,29,7,251,11
2012-06-21,30,21,0.0,13.5,1,1,11,23,29,29,26,20,42,89,1.0,1008,30,6,250,12
2012-06-22,26,19,0.0,13.5,1,1,18,20,24,24,23,21,31,85,0.2,1008,26,8,267,13
2012-06-23,25,15,0.0,14.5,1,1,26,15,20,20,20,13,10,78,0.0,1012,25,10,292,8
2012-06-24,26,10,0.0,13.5,1,1,33,16,19,20,19,14,28,81,0.4,1012,26,9,216,9
2012-06-25,20,11,0.0,11.6,1,1,41,14,16,16,16,18,76,91,4.4,1006,20,6,235,12
2012-06-26,19,11,0.0,9.6,1,1,48,13,14,14,14,19,98,93,6.6,1004,19,5,297,12
2012-06-27,19,13,0.0,11.6,1,1,56,15,16,16,16,25,78,94,5.5,1003,19,9,294,14
2012-06-28,24,13,0.0,14.5,1,1,63,17,19,21,19,16,34,86,0.3,1005,24,8,260,10
2012-06-29,27,17,0.0,12.5,1,1,71,19,22,23,22,26,32,85,0.3,1000,27,9,232,16
2012-06-30,26,17,0.0,13.5,1,1,78,19,21,22,21,26,31,86,1.5,1002,26,10,249,15
2012-07-01,24,16,0.0,14.5,1,1,83,18,20,21,20,13,34,87,5.3,1009,24,7,310,8
2012-07-02,25,14,0.0,14.5,1,1,90,17,20,20,20,18,25,86,2.1,1012,25,9,296,10
2012-07-03,25,13,0.0,13.5,1,1,97,17,20,21,20,8,42,82,1.7,1011,25,9,205,5
2012-07-04,26,17,0.0,11.6,1,1,100,20,22,23,22,18,66,90,1.0,1006,26,9,262,11
2012-07-05,21,13,0.0,14.5,1,1,88,17,18,19,18,14,27,91,0.0,1011,21,8,285,8
2012-07-06,26,16,0.0,14.5,1,1,81,20,21,23,21,15,25,93,0.5,1011,26,6,221,8
2012-07-07,22,18,0.0,14.5,1,1,73,18,20,21,20,23,35,88,1.9,1009,22,9,286,13
2012-07-08,22,14,0.0,14.5,1,1,66,14,18,18,18,20,16,80,0.0,1012,22,10,313,12
2012-07-09,22,10,0.0,14.5,1,1,59,12,17,18,17,17,8,74,0.0,1014,22,10,290,10
2012-07-10,24,12,0.0,14.5,1,1,52,15,18,19,18,18,12,80,0.1,1016,24,10,273,10
2012-07-11,25,7,0.0,14.5,1,1,44,14,19,19,19,10,14,72,0.0,1020,25,10,155,6
2012-07-12,27,15,0.0,14.5,1,1,37,19,22,23,22,18,3,84,0.0,1019,27,9,238,11
2012-07-13,29,17,0.0,14.5,1,1,30,20,25,25,23,17,11,84,0.0,1019,29,9,240,10
2012-07-14,30,18,0.0,14.5,1,1,23,22,27,27,25,17,8,86,0.3,1018,30,7,239,10
2012-07-15,30,19,0.0,12.5,1,1,15,22,26,26,24,14,48,88,0.5,1015,30,6,227,8
2012-07-16,27,18,0.0,12.5,1,1,8,21,25,25,23,9,61,86,3.1,1009,27,8,272,5
2012-07-17,28,18,0.0,9.5,1,1,1,21,22,24,22,18,66,92,9.2,1004,28,6,217,10
2012-07-18,23,14,0.0,14.5,1,1,0,15,19,20,19,18,9,80,0.0,1011,23,8,306,11
2012-07-19,21,9,0.0,14.5,1,1,0,12,17,17,17,11,16,76,0.0,1016,21,10,253,7
2012-07-20,23,9,0.0,14.5,1,1,6,15,18,19,18,8,0,79,0.0,1018,23,10,124,5
2012-07-21,25,8,0.0,14.5,1,1,14,16,20,21,20,8,5,78,0.0,1017,25,10,169,5
2012-07-22,27,17,0.0,14.5,1,1,21,20,24,24,22,18,21,85,1.1,1016,27,8,232,11
2012-07-23,28,18,0.0,13.5,1,1,28,21,25,25,23,19,52,89,6.6,1010,28,6,217,11
2012-07-24,23,15,0.0,12.5,1,1,35,18,20,21,20,23,50,87,4.9,1004,23,8,290,13
2012-07-25,23,12,0.0,14.5,1,1,43,16,18,19,18,16,23,83,0.0,1010,23,10,270,10
2012-07-26,22,16,0.0,9.4,1,1,50,17,19,19,19,10,77,88,0.4,1004,22,5,156,5
2012-07-27,25,14,0.0,14.5,1,1,57,16,20,20,20,9,12,82,0.0,1009,25,10,146,5
2012-07-28,25,13,0.0,14.5,1,1,65,16,19,20,19,16,6,79,0.0,1016,25,9,35,9
2012-07-29,19,15,0.0,14.5,1,1,72,17,18,18,18,14,3,93,0.1,1016,19,5,40,7
2012-07-30,28,16,0.0,14.5,1,1,79,19,22,24,22,12,10,82,0.0,1016,28,8,199,7
2012-07-31,28,18,0.0,14.5,1,1,83,20,24,24,23,19,12,84,1.0,1013,28,9,180,11
2012-08-01,25,17,0.0,14.5,1,1,94,19,21,22,21,15,38,89,3.3,1009,25,9,212,9
2012-08-02,28,17,0.0,14.5,1,1,100,20,25,25,23,16,12,85,0.0,1009,28,8,242,9
2012-08-03,27,17,0.0,12.4,1,1,100,20,22,24,22,15,41,88,0.2,1014,27,6,236,9
2012-08-04,32,17,0.0,14.5,1,1,85,21,27,27,25,14,11,81,0.0,1020,32,8,103,8
2012-08-05,30,22,0.0,13.4,1,1,77,23,28,28,25,32,29,87,4.9,1011,30,9,194,18
2012-08-06,22,14,0.0,14.5,1,1,70,16,18,19,18,19,13,87,0.0,1014,22,7,255,12
2012-08-07,23,14,0.0,12.4,1,1,63,14,19,20,19,14,61,77,2.2,1013,23,9,218,9
